sender,receiver,text_content,translated_text_content,vader_score,time stamp,cleaned_text,sender_group1,sender_group2,sender_project1,sender_project2,receiver_group1,receiver_group2,receiver_project1,receiver_project2
4,9,プリンセスじゃん…かわいすぎ…,She's a princess... so cute...,0.5949,Thu Apr 03 15:12:48 +0000 2025,プリンセスじゃん…かわいすぎ…,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
9,4,"みゆプリンセスに言われるの嬉しすぎ🥺🤍✨
ありがとう☺️🫶🫶✨✨","I'm so happy to hear Miyu Princess say it
thank you",0.8042,Thu Apr 03 15:17:38 +0000 2025,"みゆプリンセスに言われるの嬉しすぎ
ありがとう",Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
10,9,"かわいーーー！！！！
似合ってる！お人形さん！！🤍🤍","Cute! ! ! !
It suits you! Doll! !",0.6331,Thu Apr 03 15:24:09 +0000 2025,"かわいーーー！！！！
似合ってる！お人形さん！！",Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
9,10,"うれしーーー！！！🤍🤍
見慣れなすぎてこれでいいのか不安だったけど田中にお墨付き貰えたからいい気がしてきた！！！☺️ありがとう🫶","I'm so happy! ! !
I was so used to seeing it that I was worried if this was okay, but Tanaka has given me the approval so I feel good! ! ! thank you",0.948,Thu Apr 03 15:30:43 +0000 2025,"うれしーーー！！！
見慣れなすぎてこれでいいのか不安だったけど田中にお墨付き貰えたからいい気がしてきた！！！ありがとう",Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
1,9,"あかりんありがとう💜💜💜
素で彼方ちゃんみたいだった☺️✨","Thank you Akarin
I was like Benata-chan in my own way",0.6124,Sun Mar 23 08:39:46 +0000 2025,"あかりんありがとう
素で彼方ちゃんみたいだった",Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
9,1,"たまたま髪型彼方っぽかったよね🐏
おつかれさまー🌟","It just happened to be a bit of a hairstyle
Thank you for your hard work",0.2732,Sun Mar 23 08:41:53 +0000 2025,"たまたま髪型彼方っぽかったよね
おつかれさまー",Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
0,9,来てくれてありがと🫧🌈,Thank you for coming,0.3612,Sun Mar 23 06:19:18 +0000 2025,来てくれてありがと,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
9,0,連れてってくれてありがと🤍,Thank you for taking me with me,0.3612,Sun Mar 23 06:22:18 +0000 2025,連れてってくれてありがと,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
7,9,"楽屋に来てくれてありがとあかりんーー！！🥰🥰
うれしかった〜〜〜","Thank you for coming to the dressing room! !
I was happy",0.7772,Sun Mar 23 06:22:02 +0000 2025,"楽屋に来てくれてありがとあかりんーー！！
うれしかった〜〜〜",Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
9,7,わたしも会えて嬉しかったー🌈✨ステージがんばってねー‼️✨,"I was happy to meet you too, please do your best on stage!!",0.8953,Sun Mar 23 06:23:57 +0000 2025,わたしも会えて嬉しかったーステージがんばってねー‼,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
1,10,どっちも！！！🍒😍,Both! ! !,0.0,Sun May 25 13:12:55 +0000 2025,どっちも！！！,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
10,1,あら〜〜嬉しいこと言ってくれるじゃないのーー☺️💕💕💕,"Oh, you're going to say something nice",0.4215,Sun May 25 13:55:35 +0000 2025,あら〜〜嬉しいこと言ってくれるじゃないのーー,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
22,10,"え！ツインテール、、、！？！？
可愛すぎます見たかった😭🥹💖💖","What! Twin tails...! ? ! ?
It's so cute I wanted to see it",0.7271,Sat May 24 11:57:12 +0000 2025,"え！ツインテール、、、！？！？
可愛すぎます見たかった",Liella!,,Lovelive!,,Nijigasaki,,Lovelive!,
10,22,みて♡♡♡ https://t.co/RVTgwmJhOc,Look at it https://t.co/RVTgwmJhOc,0.0,Sat May 24 12:11:47 +0000 2025,みて https://t.co/RVTgwmJhOc,Nijigasaki,,Lovelive!,,Liella!,,Lovelive!,
10,13,大丈夫よん😉,It's okay,0.2263,Thu Jun 05 11:06:49 +0000 2025,大丈夫よん,Nijigasaki,,Lovelive!,,Nijigasaki,,Lovelive!,
23,14,ねぇぇぇさゆー😭ありがとう🎧🧡,"Hey, thank you Sayyu",0.3612,Sun Jul 06 15:24:37 +0000 2025,ねぇぇぇさゆーありがとう,Liella!,,Lovelive!,,Liella!,,Lovelive!,
17,14,"さゆーーーーー！！！！
今この写真と同じ表情してるwww
ぺいもさゆだーーーーいすきっ！💞💞💞
ありがとう！😆✨","Sayuri! ! ! !
He looks the same as this photo now lol
I love Pei too!
thank you!",0.8926,Wed Jul 02 02:38:57 +0000 2025,"さゆーーーーー！！！！
今この写真と同じ表情してるwww
ぺいもさゆだーーーーいすきっ！
ありがとう！",Liella!,,Lovelive!,,Liella!,,Lovelive!,
23,14,ボー。( '-' ),Bo. ( '-' ),0.0,Tue Jun 24 10:26:19 +0000 2025,ボー。( '-' ),Liella!,,Lovelive!,,Liella!,,Lovelive!,
16,14,"おさゆ！！ありがとうね！
これからも世に出せない写真たくさん撮っていこうね😇笑","Osayu! ! Thank you!
I'll continue to take lots of photos that I can't bring out in the world lol",0.7332,Fri May 16 02:22:49 +0000 2025,"おさゆ！！ありがとうね！
これからも世に出せない写真たくさん撮っていこうね笑",Liella!,,Lovelive!,,Liella!,,Lovelive!,
17,14,ほんとだよ。,That's true.,0.4215,Sun May 04 12:15:15 +0000 2025,ほんとだよ。,Liella!,,Lovelive!,,Liella!,,Lovelive!,
14,17,ぎゃあああああああああああ,Aaaaaah,0.0,Sun May 04 12:18:06 +0000 2025,ぎゃあああああああああああ,Liella!,,Lovelive!,,Liella!,,Lovelive!,
23,14,"澁谷かのんっっ🫵　　…笑
お誕生日おめでとう👏🧡

マルガレーテちゃんも、
かのんちゃんのこと大好きってーー！🤭笑
 #澁谷かのん生誕祭2025","Shibuya Kanon...lol
happy birthday

Margarete too
I love Kanon-chan! lol
 #Shibuya Kanon Birthday 2025",0.8999,Wed Apr 30 23:51:32 +0000 2025,"澁谷かのんっっ　　…笑
お誕生日おめでとう

マルガレーテちゃんも、
かのんちゃんのこと大好きってーー！笑
 #澁谷かのん生誕祭2025",Liella!,,Lovelive!,,Liella!,,Lovelive!,
14,23,"ゆいな、ありがとう🛝💜笑
ツンデレいただきました🫶","Yuina, thank you lol
I got a tsundere",0.6486,Fri May 02 08:47:37 +0000 2025,"ゆいな、ありがとう笑
ツンデレいただきました",Liella!,,Lovelive!,,Liella!,,Lovelive!,
22,14,"かのん先輩🎧✨
お誕生日おめでとうございます！大好きだ〜❣️
冬毬とラジオこれからもよろしくね🥹🧡","Kanon Senpai
happy birthday! I love it
I hope you'll continue to look forward to Fuyumari and radio",0.902,Wed Apr 30 22:41:02 +0000 2025,"かのん先輩
お誕生日おめでとうございます！大好きだ〜
冬毬とラジオこれからもよろしくね",Liella!,,Lovelive!,,Liella!,,Lovelive!,
14,22,"さく〜🥲💭ありがとーーっ！🎀
こちらこそだ！
リエラジ盛り上げていこうっ！","Thank you so much!
This is it!
Let's liven up Rieraji!",0.5229,Fri May 02 09:56:21 +0000 2025,"さく〜ありがとーーっ！
こちらこそだ！
リエラジ盛り上げていこうっ！",Liella!,,Lovelive!,,Liella!,,Lovelive!,
19,14,"かのんちゃんお誕生日おめでとう☺️🧡
大好きです(  ´˘`  )🫶","Happy birthday Kanon-chan
I love it ( ´˘` )",0.836,Thu May 01 10:41:06 +0000 2025,"かのんちゃんお誕生日おめでとう
大好きです(  ´˘`  )",Liella!,,Lovelive!,,Liella!,,Lovelive!,
14,19,"のんちゃんありがとおおおお👏💭
顔文字かわいい大好き🫣","Thanks Non-chan
I love the cute emoticons",0.8779,Fri May 02 09:56:32 +0000 2025,"のんちゃんありがとおおおお
顔文字かわいい大好き",Liella!,,Lovelive!,,Liella!,,Lovelive!,
17,14,"かのんちゃん〜っ！🎧
お誕生日おめでとう🧡🎂","Kanon-chan!
happy birthday",0.6114,Thu May 01 02:03:48 +0000 2025,"かのんちゃん〜っ！
お誕生日おめでとう",Liella!,,Lovelive!,,Liella!,,Lovelive!,
14,17,"ペーーーイ子ぉぉう
ありがと〜！！！💚🎂","Peeeee
thank you~! ! !",0.5229,Fri May 02 10:51:42 +0000 2025,"ペーーーイ子ぉぉう
ありがと〜！！！",Liella!,,Lovelive!,,Liella!,,Lovelive!,
16,14,かのんちゃんお誕生日おめでとう〜🧡,Happy birthday Kanon-chan,0.5719,Thu May 01 14:58:08 +0000 2025,かのんちゃんお誕生日おめでとう〜,Liella!,,Lovelive!,,Liella!,,Lovelive!,
14,16,"ちゃんなぎ〜〜ぃ
ありがとーーーう！！💙🎂🎂","Channagi
Thank you! !",0.4738,Fri May 02 09:56:48 +0000 2025,"ちゃんなぎ〜〜ぃ
ありがとーーーう！！",Liella!,,Lovelive!,,Liella!,,Lovelive!,
22,14,似すぎた🤣🤣🤣,It was too similar,0.0,Sat Apr 19 13:07:37 +0000 2025,似すぎた,Liella!,,Lovelive!,,Liella!,,Lovelive!,
14,22,写真の構図もお衣装も似すぎた笑笑笑🤣,The composition and costumes in the photo were just too similar lol lol,0.6808,Sat Apr 19 13:14:35 +0000 2025,写真の構図もお衣装も似すぎた笑笑笑,Liella!,,Lovelive!,,Liella!,,Lovelive!,
23,15,うれじぃーーーー。ありがどぉぉお〜💙,I'm so happy. Thank you,0.8186,Sun Jul 06 14:32:29 +0000 2025,うれじぃーーーー。ありがどぉぉお〜,Liella!,,Lovelive!,,Liella!,,Lovelive!,
16,15,ふははははは🐴,Hahahaha,0.0,Sun Jun 15 12:33:30 +0000 2025,ふははははは,Liella!,,Lovelive!,,Liella!,,Lovelive!,
15,16,😳😳😳😳😳😳😳,,0.0,Sun Jun 15 13:22:11 +0000 2025,,Liella!,,Lovelive!,,Liella!,,Lovelive!,
21,15,んきゃーーーーボーイッシュありがとうございます可愛いですきゅん🥰☺️🥰,"Thank you boyish, so cute kyu",0.7481,Mon May 12 04:54:34 +0000 2025,んきゃーーーーボーイッシュありがとうございます可愛いですきゅん,Liella!,,Lovelive!,,Liella!,,Lovelive!,
17,15,全然反省してないじゃん！！！,I haven't regretted anything at all! ! !,0.4696,Sun May 04 12:57:53 +0000 2025,全然反省してないじゃん！！！,Liella!,,Lovelive!,,Liella!,,Lovelive!,
15,17,えっ。と,What? and,0.0,Sun May 04 15:07:46 +0000 2025,えっ。と,Liella!,,Lovelive!,,Liella!,,Lovelive!,
14,15,"ケーキﾜﾀﾙｼﾐ🥹🥹
写真もありがとう！！🙇‍♀️","Cake is amazing
Thank you for the photos too! !",0.7835,Fri May 02 08:47:15 +0000 2025,"ケーキﾜﾀﾙｼﾐ
写真もありがとう！！",Liella!,,Lovelive!,,Liella!,,Lovelive!,
23,15,エッホエッホエッホエッホ🙂🙃,Ehhhhhhhhhhhh,0.0,Mon Apr 14 13:56:18 +0000 2025,エッホエッホエッホエッホ,Liella!,,Lovelive!,,Liella!,,Lovelive!,
21,15,つぶあん🍞,,0.0,Fri Apr 18 02:46:36 +0000 2025,つぶあん,Liella!,,Lovelive!,,Liella!,,Lovelive!,
23,15,ﾁｶｲ(*｡･ω･从･ω･｡*)ﾁｶｲ,Chikai(*｡･ω･从･ω･｡*) Chikai,0.0,Mon Mar 24 13:28:32 +0000 2025,ﾁｶｲ(*｡･ω･从･ω･｡*)ﾁｶｲ,Liella!,,Lovelive!,,Liella!,,Lovelive!,
14,15,ぎゅ,,0.0,Sat Mar 22 13:29:34 +0000 2025,ぎゅ,Liella!,,Lovelive!,,Liella!,,Lovelive!,
21,15,"りーありがとうねえ☺️ᩚ
お寿司行こうねえ🍣🍣","Thank you very much ᩚ
Let's go to sushi",0.3612,Sun Feb 23 13:11:28 +0000 2025,"りーありがとうねえᩚ
お寿司行こうねえ",Liella!,,Lovelive!,,Liella!,,Lovelive!,
17,16,"なぎ！！！
昨日は来てくれてありがとう🙌💞
緊張してたのバレてて照れた🙈︎","Nagi! ! !
Thank you for coming yesterday
I was embarrassed when I found out I was nervous",0.4545,Sun Jul 13 12:23:36 +0000 2025,"なぎ！！！
昨日は来てくれてありがとう
緊張してたのバレてて照れた︎",Liella!,,Lovelive!,,Liella!,,Lovelive!,
23,16,聞いて。私も今この体勢してる。,Listen. I'm in this position now too.,0.0,Sun Jun 29 14:41:50 +0000 2025,聞いて。私も今この体勢してる。,Liella!,,Lovelive!,,Liella!,,Lovelive!,
2,16,輝けほくろ…,Shining mole...,0.0,Fri May 16 15:37:33 +0000 2025,輝けほくろ…,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!,Liella!,,Lovelive!,
16,2,はひふへほくろ…,Hifuhemo...,0.0,Sat May 17 03:02:55 +0000 2025,はひふへほくろ…,Liella!,,Lovelive!,,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!
2,16,なぎちゃんおめでと〜う❣️誕生日一日違いなの奇跡やな！,"Congratulations Nagi-chan, it's a miracle that your birthday is just a day wrong!",0.7088,Thu May 15 23:37:54 +0000 2025,なぎちゃんおめでと〜う誕生日一日違いなの奇跡やな！,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!,Liella!,,Lovelive!,
16,2,"ここ氏ありがとー！ほんとそれ✌️
今度お祝いしよ〜","Thank you Koko! Really that
Let's celebrate this next time",0.7754,Sat May 17 01:54:55 +0000 2025,"ここ氏ありがとー！ほんとそれ
今度お祝いしよ〜",Liella!,,Lovelive!,,Nijigasaki,MyGO!!!!!,Lovelive!,BanG Dream!
15,16,"なぎ誕生日おめでとう！！！！！！
そろそろ次の約束🥟","Happy birthday Nagi! ! ! ! ! !
It's about time for the next promise",0.8002,Thu May 15 15:14:31 +0000 2025,"なぎ誕生日おめでとう！！！！！！
そろそろ次の約束",Liella!,,Lovelive!,,Liella!,,Lovelive!,
16,15,"りーありがと！！
はい、そろそろ我が家解放します笑","Thank you very much! !
Yes, I'll be releasing my house soon lol",0.8337,Fri May 16 02:53:05 +0000 2025,"りーありがと！！
はい、そろそろ我が家解放します笑",Liella!,,Lovelive!,,Liella!,,Lovelive!,
18,16,"なぎお！
お誕生日おめでとう！！
最高の相棒🫶
おいも溢れる一年になりますようにっっ🍠","Nagio!
happy birthday! !
The best companion
I hope it will be a year full of sweet potatoes",0.9401,Fri May 16 01:56:52 +0000 2025,"なぎお！
お誕生日おめでとう！！
最高の相棒
おいも溢れる一年になりますようにっっ",Liella!,,Lovelive!,,Liella!,,Lovelive!,
16,18,"なこありがとう！！
うひょひょうれしー🥰","Thank you Nako! !
I'm so happy",0.8327,Sat May 17 01:42:22 +0000 2025,"なこありがとう！！
うひょひょうれしー",Liella!,,Lovelive!,,Liella!,,Lovelive!,
23,16,"なぎなぎなぎ！！
お誕生日おめでとおおおお👏💓
また突然ぎゅーしにいくねーーー！笑","Naginaginagi! !
Happy birthday
I'm going to get hug again! lol",0.8879,Thu May 15 15:13:07 +0000 2025,"なぎなぎなぎ！！
お誕生日おめでとおおおお
また突然ぎゅーしにいくねーーー！笑",Liella!,,Lovelive!,,Liella!,,Lovelive!,
16,23,"ゆいなありがとおおお！
ま、待ってる…笑","Thank you Yuina!
Well, I'll be waiting... ha ha",0.8268,Sat May 17 01:43:29 +0000 2025,"ゆいなありがとおおお！
ま、待ってる…笑",Liella!,,Lovelive!,,Liella!,,Lovelive!,
20,16,"おめでとう〜
好きやで〜〜🍠❤️","Congratulations
I love it",0.8442,Fri May 16 10:09:47 +0000 2025,"おめでとう〜
好きやで〜〜",Liella!,,Lovelive!,,Liella!,,Lovelive!,
16,20,"やぶありがとう〜！！
私も〜🎃","Thank you so much for Yabu! !
me too~",0.4738,Sat May 17 02:10:51 +0000 2025,"やぶありがとう〜！！
私も〜",Liella!,,Lovelive!,,Liella!,,Lovelive!,
18,17,🫶🫶🫶,,0.0,Sun Jul 13 12:58:51 +0000 2025,,Liella!,,Lovelive!,,Liella!,,Lovelive!,
17,18,( *´ ³`)ﾉ ～♡,( *´ ³`)ﾉ ~,0.0,Sun Jul 13 13:39:34 +0000 2025,( *´ ³`)ﾉ ～,Liella!,,Lovelive!,,Liella!,,Lovelive!,
20,17,なおみ、好きだ。,I love Naomi.,0.6369,Tue Jul 01 08:53:37 +0000 2025,なおみ、好きだ。,Liella!,,Lovelive!,,Liella!,,Lovelive!,
17,20,！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！,! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? ! ? !,0.0,Wed Jul 02 02:54:01 +0000 2025,！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！？！,Liella!,,Lovelive!,,Liella!,,Lovelive!,
23,17,"お誕生日おめでとうっっ👏🎉
ぺいとぅん！めっちゃいい写真っっ🩵
いつまでも一緒に笑い合おうね😂😂

 #ペイトン尚未生誕祭2024","Happy birthday
Peiton! A really good photo
Let's laugh together forever

 #PeytonNaoshi Birthday 2024",0.8953,Mon Jun 30 15:09:05 +0000 2025,"お誕生日おめでとうっっ
ぺいとぅん！めっちゃいい写真っっ
いつまでも一緒に笑い合おうね

 #ペイトン尚未生誕祭2024",Liella!,,Lovelive!,,Liella!,,Lovelive!,
17,23,"ゆいなありがとう！ 🫶🥹
21歳(2回目)…！？！？笑笑
いつも笑わせてくれてありがとう！
これからもダジャレ楽しみにしてるよ〜🫰","Thank you Yuina! 
21 years old (2nd time)...! ? ! ? Lol lol
Thank you for always making me laugh!
I'm looking forward to more puns",0.9406,Wed Jul 02 02:43:00 +0000 2025,"ゆいなありがとう！ 
21歳(2回目)…！？！？笑笑
いつも笑わせてくれてありがとう！
これからもダジャレ楽しみにしてるよ〜",Liella!,,Lovelive!,,Liella!,,Lovelive!,
15,17,"ペイ誕生日おめでとう！！！！！！
写真の笑顔しゅてき☺️✨✨","Happy birthday Pay! ! ! ! ! !
I'll smile in the photo",0.7887,Tue Jul 01 07:51:56 +0000 2025,"ペイ誕生日おめでとう！！！！！！
写真の笑顔しゅてき",Liella!,,Lovelive!,,Liella!,,Lovelive!,
